Reference,Name,Email,Cost,Paid,Subsidy,Remaining,Status
"PWE_2026_01_008","Hannah Arendt","hannah@jonasisensee.de",20.00,0.00,0.00,20.00,"✗ Unpaid"
"PWE_2026_01_002","Jonas Isensee","unimusik@jonasisensee.de",0.00,0.00,0.00,0.00,"✓ Paid"
"PWE_2026_01_001","Muuuh Maaahh","muma@jonasisensee.de",30.00,0.00,0.00,30.00,"✗ Unpaid"
"PWE_2026_01_009","Niklas Meier","nik@jonasisensee.de",30.00,0.00,0.00,30.00,"✗ Unpaid"
"PWE_2026_01_010","Muk Muk","muk@jonasisensee.de",10.00,0.00,0.00,10.00,"✗ Unpaid"
"PWE_2026_01_003","Maria Müller","mariamueller@jonasisensee.de",30.00,0.00,0.00,30.00,"✗ Unpaid"
"PWE_2026_01_006","Maria Müller","dieechtemaria@jonasisensee.de",10.00,0.00,0.00,10.00,"✗ Unpaid"
"PWE_2026_01_004","Thomas Müller","thomas@jonasisensee.de",30.00,0.00,0.00,30.00,"✗ Unpaid"
"PWE_2026_01_007","Peter Schmidt","peter@jonasisensee.de",30.00,0.00,0.00,30.00,"✗ Unpaid"
"PWE_2026_01_005","Torsten Schreiber","torsten@jonasisensee.de",0.00,0.00,0.00,0.00,"✓ Paid"
