"reference_number","Vorname","Nachname","E-Mail","Busfahrt Hinweg (10€)","Busfahrt Rückweg (10€)","Übernachtung Freitag","Übernachtung Samstag","Essen","Sonstiges"
"PWE_2026_01_002","Jonas","Isensee","unimusik@jonasisensee.de","","","","","Vegetarisch",""
"PWE_2026_01_003","Maria","Müller","mariamueller@jonasisensee.de","Ja","Ja","Ja","Ja","Vegan",""
"PWE_2026_01_004","Thomas","Müller","thomas@jonasisensee.de","Ja","Ja","Ja","Ja","Alles",""
"PWE_2026_01_005","Torsten","Schreiber","torsten@jonasisensee.de","Nein","Nein","Ja","Ja","Alles",""
"PWE_2026_01_006","Maria","Müller","dieechtemaria@jonasisensee.de","Ja","Nein","Ja","Ja","Vegetarisch",""
"PWE_2026_01_007","Peter","Schmidt","peter@jonasisensee.de","Ja","Ja","Ja","Ja","Vegan","Ich habe im Lotto gewonnen."
"PWE_2026_01_008","Hannah","Arendt","hannah@jonasisensee.de","Nein","Ja","Ja","Ja","Vegan",""
"PWE_2026_01_009","Niklas","Meier","nik@jonasisensee.de","Ja","Ja","Ja","Ja","Vegetarisch","Ich hab ganz viele sonderwünsche. Bitte sogar zwei extrawürste"
"PWE_2026_01_010","Muk","Muk","muk@jonasisensee.de","Ja","Nein","Ja","Ja","Vegan",""
"PWE_2026_01_001","Muuuh","Maaahh","muma@jonasisensee.de","Ja","Ja","Ja","Ja","Alles","Naaa"
